ally	đồng minh
and	va
bad	tồi
beautiful	đẹp
bird	con chim
blow	thổi
book	sách
bye	tạm biệt
calculator	máy tính bỏ túi
computer	máy tính
cucumber	quả dưa chuột
day	ngày
die	chết
eagle	đại bàng
end	kết thúc
enemy	kẻ thù
evening	buổi chiều
fan	người hâm mộ
fast	nhanh
father	bố
good	tốt
headphone	tai nghe
hello	xin chào
high	cao
jump	nhảy
knife	con dao
love	yêu
math	toán học
milk	sữa
morning	buổi sáng
mother	mẹ
new	mới
night	buổi tối
old	cũ
phone	điện thoại
ruler	thước
school	trường học
short	ngắn
sleep	ngủ
son	con trai
study	học
swim	bơi
technology	công nghệ
tiger	con hổ
window	cửa sổ
